recipe_id,ingredient_name,amount,unit,is_alcohol,abv_percent
vodka_cherry,Cherry flavoring (qty uncertain),1,each,no,
vodka_cherry_flavoring,Vodka,750,mL,yes,40
vodka_cherry_flavoring,Cherry (Montmorency) Extract,4,mL,no,
vodka_chili_tepens,Chili Tepins Flavored Vodka,,,no,
vodka_chipotle,Vodka,750,mL,yes,40
vodka_chipotle,Chipotle Peppers,4,each,no,
vodka_chocolate_ghost,chocolate ghost pepper flavored vodka,,,no,
vodka_cilantro,Ingredients not yet documented in this system,,,no,
vodka_cinnamon,Ingredients not yet documented in this system,,,no,
vodka_cinnamon_vanilla,Vodka,1500,mL,yes,40
vodka_cinnamon_vanilla,Cinnamon Sticks,5,each,no,
vodka_cinnamon_vanilla,Vanilla Extract,1,tsp,no,
vodka_cinnamon_vanilla,Vanilla Syrup,1,tbsp,no,
vodka_cranberry,Vodka,1,gal,yes,40
vodka_cranberry,Cranberry Concentrate,5.75,kg,no,
vodka_cucumber,Vodka,8,oz,yes,40
vodka_cucumber,Sugar,1,cups,no,
vodka_cucumber,"Cucumber (peeled, deseeded)",1,each,no,
vodka_cucumber_grapefruit,Ingredients not yet documented in this system,,,no,
vodka_cucumber_mint,Ingredients not yet documented in this system,,,no,
vodka_cucumber_rosemary,Ingredients not yet documented in this system,,,no,
vodka_dill,Vodka with Natural Flavor,,,no,
vodka_garlic,Vodka,1,gal,yes,40
vodka_garlic,Garlic Cloves,22,each,no,
vodka_ghost_pepper_yellow,Ingredients not yet documented in this system,,,no,
vodka_ginger,Vodka,1500,mL,yes,40
vodka_ginger,Shaved Ginger,0.25,cups,no,
vodka_ginger,Sliced Ginger,15,g,no,
vodka_gooseberry,Ingredients not yet documented in this system,,,no,
vodka_graham_cracker,Vodka,750,mL,yes,40
vodka_graham_cracker,Graham Cracker Extract,5,mL,no,
vodka_grape,Vodka,750,mL,yes,40
vodka_grape,Grape Extract,4,mL,no,
vodka_grapefruit,Ingredients not yet documented in this system,,,no,
vodka_habanero,Vodka with Habanero Peppers,,,no,
vodka_hibiscus,Ingredients not yet documented in this system,,,no,
vodka_honey_bourbon,Ingredients not yet documented in this system,,,no,
vodka_horseradish,Ingredients not yet documented in this system,,,no,
vodka_horseradish_honey,Ingredients not yet documented in this system,,,no,
vodka_horseradish_sauce,Ingredients not yet documented in this system,,,no,
vodka_irish_whiskey,Ingredients not yet documented in this system,,,no,
vodka_jalape_o,Vodka with Jalapeño Peppers,,,no,
vodka_jamacan_scotch_bonnet,Ingredients not yet documented in this system,,,no,
vodka_lemon,Vodka,750,mL,yes,40
vodka_lemon,Lemon Extract,4,mL,no,
vodka_mango,Vodka,750,mL,yes,40
vodka_mango,Mango Extract,4,mL,no,
vodka_lime,Ingredients not yet documented in this system,,,no,
vodka_mango_habanero,Habanero Vodka,750,mL,yes,40
vodka_mango_habanero,Mango Extract,4,mL,no,
vodka_mixed_vegetable,Ingredients not yet documented in this system,,,no,
vodka_peach_flavoring,Vodka,750,mL,yes,40
vodka_peach_flavoring,Peach Extract,2.5,mL,no,
vodka_olive,Ingredients not yet documented in this system,,,no,
vodka_onion,Ingredients not yet documented in this system,,,no,
vodka_orange,Ingredients not yet documented in this system,,,no,
vodka_peach,Vodka,1500,mL,yes,40
vodka_peach,"Peaches, cut",12,oz,no,
vodka_peanut_butter_cup,Vodka,2,cups,yes,40
vodka_peanut_butter_cup,Peanut Butter,0.5,cups,no,
vodka_pear,Pear Flavored Vodka,,,no,
vodka_peppermint,Vodka,750,mL,yes,40
vodka_peppermint,Peppermint (NW Candy Cane) Extract,4,mL,no,
vodka_peppermint,Simple Syrup,2,tbsp,no,
vodka_peppermint,Red Food Color,1,drop,no,
vodka_pickle,Ingredients not yet documented in this system,,,no,
vodka_plum,Vodka with Natural Flavor,,,no,
vodka_pomegranate,Ingredients not yet documented in this system,,,no,
vodka_pomegranate_rosemary,Ingredients not yet documented in this system,,,no,
vodka_prickly_pear,Ingredients not yet documented in this system,,,no,
vodka_pumpkin_spice,Vodka,1,gal,yes,40
vodka_pumpkin_spice,Cloves,2.5,tsp,no,
vodka_pumpkin_spice,Allspice,5,tsp,no,
vodka_pumpkin_spice,White Peppercorns,3.75,tsp,no,
vodka_pumpkin_spice,Cinnamon Sticks,20,each,no,
vodka_pumpkin_spice,Whole Nutmeg,5,each,no,
vodka_pumpkin_spice,Fresh Ginger,12.5,inch,no,
vodka_pumpkin_spice,Sugar,12.5,cups,no,
vodka_pumpkin_spice,Water,10,cups,no,
vodka_raspberry,Vodka,750,mL,yes,40
vodka_raspberry,Raspberry Extract,6,mL,no,
vodka_raspberry,Simple Syrup,2,tbsp,no,
vodka_raspberry,Red Food Color,1,drop,no,
vodka_red_currant,Ingredients not yet documented in this system,,,no,
vodka_red_hots,Vodka,750,mL,yes,40
vodka_red_hots,Red Hots Candy,70,g,no,
